date,demand,price,promo_flag
2023-01-01,100.43773663803545,18.04135865714289,1
2023-01-02,82.03939427319273,18.385122931810923,0
2023-01-03,96.72204179890657,18.406782761310602,0
2023-01-04,98.60191107559478,18.483305482741343,0
2023-01-05,83.8277670268157,17.702472850540897,1
2023-01-06,81.37685991985039,19.698414722106932,0
2023-01-07,93.17475717428698,18.189344893185677,0
2023-01-08,89.9792201592384,16.512112197900162,0
2023-01-09,92.73116618223098,17.200499403387028,0
2023-01-10,86.39682499269699,16.61029760877775,0
2023-01-11,100.61104668253218,18.016867703321047,0
2023-01-12,100.15186968029649,17.90585582075733,0
2023-01-13,94.81033557786212,17.628859441680433,0
2023-01-14,103.65135991582757,19.612640889920414,0
2023-01-15,98.72353005813535,18.44338629926153,0
2023-01-16,88.45772619925783,18.585378689157068,0
2023-01-17,98.62916942334209,17.259941209646318,0
2023-01-18,88.35358785098019,17.20578408693519,0
2023-01-19,103.39602690358396,18.034844399277567,0
2023-01-20,104.31098594595726,18.14410571172178,1
2023-01-21,95.57155908352019,16.520950746308436,0
2023-01-22,99.9410860882959,17.862054381720373,1
2023-01-23,107.50482156720571,18.017857666298802,0
2023-01-24,96.82203226832172,17.8347806673831,0
2023-01-25,94.96313720681461,17.35648767012266,0
2023-01-26,95.9018036483405,17.575871854463088,0
2023-01-27,103.30398533543541,17.86631264514176,0
2023-01-28,102.29313934972085,18.080740018888037,0
2023-01-29,102.99286631082492,18.492233266040458,0
2023-01-30,103.45624482637882,18.8733849639607,0
2023-01-31,117.45869181016324,17.7735218211782,0
2023-02-01,97.38709874596516,17.644375043107715,0
2023-02-02,96.85037031473871,18.359724538827443,0
2023-02-03,94.74492160478297,18.49857593312868,0
2023-02-04,106.48654164395637,17.662839653392894,0
2023-02-05,118.8908134675895,18.642814781572937,1
2023-02-06,101.24442580783702,18.794468272924778,0
2023-02-07,95.72828192351504,19.04444917252694,0
2023-02-08,96.1436876767726,19.434056725375857,0
2023-02-09,108.23067727141495,17.31856708907245,0
2023-02-10,109.25467938743108,18.02311856746601,0
2023-02-11,107.93282536714118,18.02132215729493,0
2023-02-12,98.53861470653601,17.934141145173992,0
2023-02-13,105.99116296119266,17.49348966431189,0
2023-02-14,105.33454181759916,16.824750397415144,0
2023-02-15,106.41367531486505,18.087643556823203,0
2023-02-16,111.894562669221,17.399115472361668,0
2023-02-17,106.9666451561157,18.0828947845981,0
2023-02-18,110.85964896385487,17.379165166640917,0
2023-02-19,106.21507430984224,17.134973323324527,0
2023-02-20,108.22907135909112,18.20243868830152,0
2023-02-21,111.20360234438708,18.136037221445196,0
2023-02-22,94.72867046257018,18.479025577056746,0
2023-02-23,104.05654340427714,19.764591013134098,0
2023-02-24,103.07424052915117,18.238031624968677,0
2023-02-25,101.94475839420049,18.404565413651305,0
2023-02-26,105.06839305623481,17.15475093690614,0
2023-02-27,127.43794301719132,16.9875740475709,1
2023-02-28,100.75571918714363,19.283663557418667,0
2023-03-01,115.6275686672824,17.278916176053357,0
2023-03-02,94.61232099258963,17.182844742825086,0
2023-03-03,105.58504685470574,17.987020863026757,0
2023-03-04,117.74985862372492,17.946446069298087,1
2023-03-05,121.3161288497415,17.296894794845365,1
2023-03-06,122.48943956753381,17.77522142502952,1
2023-03-07,115.31439527464427,19.003000574120083,0
2023-03-08,106.3404756780652,17.375005112934563,0
2023-03-09,105.58874542239013,16.905162012507063,0
2023-03-10,116.30323280438992,18.774474896719834,0
2023-03-11,108.055399072531,18.41453752955043,0
2023-03-12,99.52125398975512,17.524585103481073,0
2023-03-13,100.79582344681006,16.755566387098465,0
2023-03-14,102.63630946052996,17.42590131484915,0
2023-03-15,114.09341627833318,17.97813645052058,0
2023-03-16,111.37410242040264,18.954737671907058,0
2023-03-17,115.87147850998815,17.193234420104275,0
2023-03-18,107.03677758240482,17.95518409479082,0
2023-03-19,111.82459596564385,18.563215727915917,0
2023-03-20,115.6567322551871,16.11838612790246,0
2023-03-21,108.26719451235124,18.85072893435112,0
2023-03-22,114.4803313058915,17.07803954223485,0
2023-03-23,105.60906880650865,18.28989639476555,0
2023-03-24,108.07255807535917,18.221946519688593,0
2023-03-25,107.98974674976044,18.892569113171074,0
2023-03-26,101.53772702364634,18.465939504714832,0
2023-03-27,115.05513798416371,16.123667606616017,0
2023-03-28,107.45316120132179,17.397976602275207,0
2023-03-29,111.35145241198461,18.136664103482623,0
2023-03-30,115.13468169435855,17.87041609110417,0
2023-03-31,114.89224963303322,18.408788583805418,0
2023-04-01,116.6684509113801,18.658493244535766,0
2023-04-02,110.57693091864842,18.514061389143745,0
2023-04-03,115.99194667674152,17.856180045956428,1
2023-04-04,110.74817992649594,16.550830391103613,0
2023-04-05,97.88891884003642,17.663815000916145,0
2023-04-06,107.80644343792314,18.361594518511165,1
2023-04-07,100.79158113624818,17.156442197959617,0
2023-04-08,103.3791316012021,18.53411978409726,0
